LOC111104590 rna-XR_002634921.1
LOC111104626 rna-XM_022438659.1
LOC111104627 rna-XM_022438658.1
LOC111104660 rna-XM_022438726.1
LOC111104663 rna-XM_022438732.1
LOC111104686 rna-XR_002634941.1
LOC111104688 rna-XM_022438765.1
LOC111104689 rna-XM_022438768.1
LOC111104697 rna-XM_022438783.1
LOC111104711 rna-XM_022438805.1
LOC111104721 rna-XM_022438815.1
LOC111104729 rna-XM_022438832.1
LOC111104734 rna-XR_002634955.1
LOC111104752 rna-XM_022438861.1
LOC111104753 rna-XM_022438863.1
LOC111104754 rna-XR_002634960.1
LOC111104759 rna-XM_022438870.1
LOC111104775 rna-XM_022438895.1
LOC111104783 rna-XM_022438908.1
LOC111104784 rna-XM_022438915.1
LOC111104789 rna-XM_022438925.1
LOC111104814 rna-XM_022438953.1
LOC111104820 rna-XM_022438959.1
LOC111104824 rna-XM_022438978.1
LOC111104827 rna-XM_022438973.1
LOC111104830 rna-XM_022438979.1
LOC111104834 rna-XM_022438986.1
LOC111104835 rna-XM_022439131.1
LOC111104839 rna-XM_022438994.1
LOC111104852 rna-XM_022439012.1
LOC111105035 rna-XM_022439222.1
LOC111105233 rna-XM_022439398.1
LOC111105249 rna-XM_022439444.1
LOC111105258 rna-XM_022439437.1
LOC111105262 rna-XM_022439442.1
LOC111105273 rna-XM_022439457.1
LOC111105280 rna-XM_022439477.1
LOC111105299 rna-XR_002635005.1
LOC111105304 rna-XM_022439502.1
LOC111105324 rna-XM_022439550.1
LOC111105328 rna-XM_022439557.1
LOC111105333 rna-XM_022439570.1
LOC111105363 rna-XM_022439605.1
LOC111105365 rna-XM_022439602.1
LOC111105367 rna-XM_022439627.1
LOC111105379 rna-XM_022439644.1
LOC111105385 rna-XM_022439660.1
LOC111105396 rna-XM_022439673.1
LOC111105405 rna-XM_022439684.1
LOC111105420 rna-XM_022439705.1
LOC111105431 rna-XM_022439722.1
LOC111105433 rna-XR_002635032.1
LOC111105434 rna-XM_022439731.1
LOC111105450 rna-XM_022439754.1
LOC111105464 rna-XM_022439778.1
LOC111105480 rna-XM_022439791.1
LOC111105509 rna-XM_022439845.1
LOC111105516 rna-XM_022439862.1
LOC111105527 rna-XM_022439875.1
LOC111105545 rna-XM_022439888.1
LOC111105555 rna-XM_022439913.1
LOC111105580 rna-XM_022439938.1
LOC111105591 rna-XM_022439948.1
LOC111105619 rna-XM_022440006.1
LOC111105624 rna-XM_022439995.1
LOC111105631 rna-XM_022440002.1
LOC111105636 rna-XM_022440017.1
LOC111105710 rna-XM_022440068.1
LOC111105716 rna-XM_022440089.1
LOC111105730 rna-XR_002635091.1
LOC111105733 rna-XM_022440107.1
LOC111105754 rna-XM_022440135.1
LOC111105755 rna-XM_022440139.1
LOC111105763 rna-XM_022440148.1
LOC111105770 rna-XM_022440154.1
LOC111105778 rna-XM_022440163.1
LOC111105788 rna-XM_022440174.1
LOC111105802 rna-XM_022440190.1
LOC111105807 rna-XM_022440556.1
LOC111105810 rna-XM_022440211.1
LOC111105812 rna-XM_022440212.1
LOC111105816 rna-XM_022440219.1
LOC111105824 rna-XM_022440226.1
LOC111105825 rna-XM_022440228.1
LOC111105828 rna-XM_022440240.1
LOC111105836 rna-XM_022440263.1
LOC111105840 rna-XM_022440279.1
LOC111105852 rna-XM_022440301.1
LOC111105856 rna-XM_022440310.1
LOC111105866 rna-XM_022440322.1
LOC111105880 rna-XM_022440345.1
LOC111105882 rna-XM_022440340.1
LOC111105916 rna-XM_022440396.1
LOC111105931 rna-XM_022440431.1
LOC111105939 rna-XR_002635133.1
LOC111105983 rna-XM_022440501.1
LOC111105989 rna-XR_002635139.1
LOC111106001 rna-XM_022440510.1
LOC111106007 rna-XM_022440516.1
LOC111106016 rna-XM_022440524.1
LOC111106026 rna-XM_022440538.1
LOC111106030 rna-XM_022440543.1
LOC111106044 rna-XM_022440564.1
LOC111106047 rna-XM_022440569.1
LOC111106051 rna-XM_022440574.1
LOC111106080 rna-XM_022440608.1
LOC111106097 rna-XM_022440624.1
LOC111106119 rna-XM_022440663.1
LOC111106170 rna-XM_022440724.1
LOC111106176 rna-XM_022440730.1
LOC111106199 rna-XM_022440767.1
LOC111106212 rna-XM_022440783.1
LOC111106214 rna-XM_022440793.1
LOC111106238 rna-XM_022440827.1
LOC111106242 rna-XM_022440844.1
LOC111106260 rna-XM_022440864.1
LOC111106267 rna-XM_022440876.1
LOC111106270 rna-XM_022440880.1
LOC111106273 rna-XM_022440885.1
LOC111106294 rna-XM_022440909.1
LOC111106301 rna-XM_022440922.1
LOC111106311 rna-XM_022440938.1
LOC111106333 rna-XM_022440961.1
LOC111106339 rna-XM_022440986.1
LOC111106355 rna-XM_022441010.1
LOC111106393 rna-XM_022441054.1
LOC111106420 rna-XM_022441090.1
LOC111106421 rna-XM_022441092.1
LOC111106425 rna-XM_022441099.1
LOC111106436 rna-XR_002635214.1
LOC111106438 rna-XM_022441110.1
LOC111106455 rna-XM_022441132.1
LOC111106457 rna-XM_022441133.1
LOC111106461 rna-XM_022441143.1
LOC111106471 rna-XM_022441165.1
LOC111106480 rna-XM_022441178.1
LOC111106483 rna-XM_022441184.1
LOC111106496 rna-XM_022441200.1
LOC111106508 rna-XM_022441216.1
LOC111106525 rna-XM_022441244.1
LOC111106539 rna-XM_022441261.1
LOC111106546 rna-XM_022441269.1
LOC111106619 rna-XM_022441355.1
LOC111106639 rna-XM_022441384.1
LOC111106653 rna-XM_022441406.1
LOC111106654 rna-XM_022441407.1
LOC111106656 rna-XM_022441414.1
LOC111106667 rna-XM_022441433.1
LOC111106698 rna-XM_022441477.1
LOC111106706 rna-XM_022441489.1
LOC111106711 rna-XM_022441501.1
LOC111106729 rna-XM_022441519.1
LOC111106731 rna-XM_022441521.1
LOC111106752 rna-XM_022441554.1
LOC111106754 rna-XM_022441565.1
LOC111106775 rna-XM_022441592.1
LOC111106800 rna-XM_022441622.1
LOC111106830 rna-XM_022441662.1
LOC111106837 rna-XM_022441683.1
LOC111106861 rna-XM_022441711.1
LOC111106871 rna-XM_022441735.1
LOC111106874 rna-XM_022441741.1
LOC111106926 rna-XM_022441806.1
LOC111106940 rna-XM_022441820.1
LOC111106944 rna-XM_022441829.1
LOC111106949 rna-XM_022441838.1
LOC111106955 rna-XM_022441849.1
LOC111106967 rna-XM_022441862.1
LOC111106980 rna-XM_022441902.1
LOC111106989 rna-XM_022441911.1
LOC111106992 rna-XM_022441916.1
LOC111107009 rna-XM_022441932.1
LOC111107014 rna-XM_022441943.1
LOC111107019 rna-XM_022441950.1
LOC111107029 rna-XM_022441967.1
LOC111107046 rna-XM_022441995.1
LOC111107058 rna-XM_022442013.1
LOC111107064 rna-XM_022442030.1
